Sourcefile	20190708 131704 Aquifer CO2 leak-v3.qmp			00h00-00h29																															
Exporttime	08/07/2019 16:25																																		
																																			
Start Time	08/07/2019 13:20																																	1200	
End Time	08/07/2019 16:25																																	19,52171791	
																																			
		He			CH4			H2O			N2			O2			Ar			CO2			Kr82-SEM			Kr84-SEM			Kr86-SEM			HeSEM			CO2-seem
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]
08/07/2019 13:43	1353,796	-2,30E-15	08/07/2019 13:43	1358,892	1,66E-12	08/07/2019 13:43	1363,983	2,33E-12	08/07/2019 13:43	1369,075	8,08E-11	08/07/2019 13:43	1374,168	1,51E-11	08/07/2019 13:43	1379,264	1,36E-12	08/07/2019 13:43	1384,357	7,19E-13	08/07/2019 13:43	1394,513	5,80E-14	08/07/2019 13:43	1399,603	1,88E-13	08/07/2019 13:43	1404,696	6,02E-14	08/07/2019 13:43	1409,789	2,88E-12	08/07/2019 13:44	1414,884	1,07E-09
08/07/2019 13:44	1425,041	-2,58E-15	08/07/2019 13:44	1430,134	1,60E-12	08/07/2019 13:44	1435,229	2,32E-12	08/07/2019 13:44	1440,322	8,12E-11	08/07/2019 13:44	1445,413	1,52E-11	08/07/2019 13:44	1450,505	1,36E-12	08/07/2019 13:44	1455,595	2,10E-13	08/07/2019 13:44	1465,75	4,52E-14	08/07/2019 13:44	1470,842	1,53E-13	08/07/2019 13:45	1475,934	5,40E-14	08/07/2019 13:45	1481,025	2,34E-12	08/07/2019 13:45	1486,118	8,70E-10
08/07/2019 13:45	1496,27	-1,26E-15	08/07/2019 13:45	1501,362	1,60E-12	08/07/2019 13:45	1506,457	2,33E-12	08/07/2019 13:45	1511,55	8,10E-11	08/07/2019 13:45	1516,643	1,52E-11	08/07/2019 13:45	1521,734	1,36E-12	08/07/2019 13:45	1526,827	1,97E-13	08/07/2019 13:46	1536,978	5,01E-14	08/07/2019 13:46	1542,073	1,64E-13	08/07/2019 13:46	1547,168	5,10E-14	08/07/2019 13:46	1552,261	2,25E-12	08/07/2019 13:46	1557,352	8,30E-10
08/07/2019 13:46	1567,506	-3,30E-15	08/07/2019 13:46	1572,6	1,59E-12	08/07/2019 13:46	1577,69	2,35E-12	08/07/2019 13:46	1582,783	8,09E-11	08/07/2019 13:46	1587,872	1,52E-11	08/07/2019 13:47	1592,963	1,36E-12	08/07/2019 13:47	1598,054	1,90E-13	08/07/2019 13:47	1608,21	5,11E-14	08/07/2019 13:47	1613,302	1,48E-13	08/07/2019 13:47	1618,396	5,52E-14	08/07/2019 13:47	1623,486	2,31E-12	08/07/2019 13:47	1628,578	8,09E-10
08/07/2019 13:47	1638,739	-1,90E-15	08/07/2019 13:47	1643,834	1,59E-12	08/07/2019 13:47	1648,926	2,35E-12	08/07/2019 13:48	1654,014	8,07E-11	08/07/2019 13:48	1659,106	1,52E-11	08/07/2019 13:48	1664,195	1,36E-12	08/07/2019 13:48	1669,289	1,86E-13	08/07/2019 13:48	1679,446	4,86E-14	08/07/2019 13:48	1684,534	1,58E-13	08/07/2019 13:48	1689,624	5,51E-14	08/07/2019 13:48	1694,716	2,25E-12	08/07/2019 13:48	1699,824	7,58E-10
08/07/2019 13:48	1709,98	-2,37E-15	08/07/2019 13:49	1715,073	1,59E-12	08/07/2019 13:49	1720,168	2,35E-12	08/07/2019 13:49	1725,259	8,06E-11	08/07/2019 13:49	1730,351	1,52E-11	08/07/2019 13:49	1735,442	1,35E-12	08/07/2019 13:49	1740,533	1,82E-13	08/07/2019 13:49	1750,697	4,48E-14	08/07/2019 13:49	1755,79	1,52E-13	08/07/2019 13:49	1760,884	5,63E-14	08/07/2019 13:49	1765,976	2,31E-12	08/07/2019 13:49	1771,069	7,46E-10
08/07/2019 13:50	1781,225	-3,70E-15	08/07/2019 13:50	1786,315	1,58E-12	08/07/2019 13:50	1791,407	2,34E-12	08/07/2019 13:50	1796,501	8,04E-11	08/07/2019 13:50	1801,59	1,51E-11	08/07/2019 13:50	1806,681	1,35E-12	08/07/2019 13:50	1811,768	1,81E-13	08/07/2019 13:50	1821,924	4,86E-14	08/07/2019 13:50	1827,016	1,64E-13	08/07/2019 13:51	1832,109	5,35E-14	08/07/2019 13:51	1837,202	2,32E-12	08/07/2019 13:51	1842,294	7,36E-10
08/07/2019 13:51	1852,452	-2,41E-15	08/07/2019 13:51	1857,544	1,58E-12	08/07/2019 13:51	1862,639	2,33E-12	08/07/2019 13:51	1867,729	8,03E-11	08/07/2019 13:51	1872,825	1,51E-11	08/07/2019 13:51	1877,917	1,35E-12	08/07/2019 13:51	1883,009	1,78E-13	08/07/2019 13:52	1893,168	4,70E-14	08/07/2019 13:52	1898,264	1,64E-13	08/07/2019 13:52	1903,354	5,27E-14	08/07/2019 13:52	1908,448	2,30E-12	08/07/2019 13:52	1913,543	7,29E-10
08/07/2019 13:52	1923,698	-2,31E-15	08/07/2019 13:52	1928,791	1,58E-12	08/07/2019 13:52	1933,887	2,32E-12	08/07/2019 13:52	1938,98	8,01E-11	08/07/2019 13:52	1944,073	1,51E-11	08/07/2019 13:52	1949,163	1,35E-12	08/07/2019 13:53	1954,254	1,75E-13	08/07/2019 13:53	1964,415	4,59E-14	08/07/2019 13:53	1969,505	1,63E-13	08/07/2019 13:53	1974,596	5,67E-14	08/07/2019 13:53	1979,691	2,31E-12	08/07/2019 13:53	1984,783	7,21E-10
08/07/2019 13:53	1994,937	-2,57E-15	08/07/2019 13:53	2000,028	1,58E-12	08/07/2019 13:53	2005,122	2,31E-12	08/07/2019 13:53	2010,213	8,00E-11	08/07/2019 13:54	2015,301	1,50E-11	08/07/2019 13:54	2020,392	1,34E-12	08/07/2019 13:54	2025,481	1,74E-13	08/07/2019 13:54	2035,634	5,54E-14	08/07/2019 13:54	2040,728	1,63E-13	08/07/2019 13:54	2045,82	5,68E-14	08/07/2019 13:54	2050,912	2,31E-12	08/07/2019 13:54	2056,002	7,15E-10
